round,beams,anthony,clinton,dimitri,ethan,joe,kareem,keith,malcolm,michael,shad,tyler
1,3,geles,uche,diandra,jada,zoe,alivia,alexis,nurys,keyana,audrey,nicole
2,1,diandra,uche,nicole,jada,audrey,alivia,alexis,nurys,keyana,geles,zoe
3,2,jada,uche,nurys,alexis,zoe,alivia,diandra,geles,audrey,keyana,nicole
4,3,keyana,uche,alexis,nicole,zoe,diandra,nurys,alivia,geles,audrey,jada
5,1,nicole,jada,uche,geles,zoe,alivia,alexis,diandra,nurys,audrey,keyana
6,4,keyana,geles,diandra,jada,alexis,nurys,zoe,alivia,uche,audrey,nicole
7,5,keyana,geles,diandra,zoe,uche,nurys,jada,alexis,audrey,alivia,nicole
8,3,alivia,geles,diandra,alexis,jada,nurys,audrey,uche,keyana,zoe,nicole
